date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:04	956039/956039	---M--	200	added ('OK')	image/gif	etag:%22t1wu67khon%22	https://cutecats.net/2025/index/img/dancing_cat_gif.gif	C:/appp/appp/cutecats.net/2025/index/img/dancing_cat_gif.gif	(from https://cutecats.net/)
19:47:05	4844/4844	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202026%2017:47:05%20GMT	https://cutecats.net/terms-of-service.html	C:/appp/appp/cutecats.net/terms-of-service.html	(from https://cutecats.net/)
19:47:05	64/64	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Aug%202026%2017:47:05%20GMT	https://cutecats.net/2025/games/ball-platformer	C:/appp/appp/cutecats.net/2025/games/ball-platformer	(from https://cutecats.net/2025/games/)
19:47:05	1162049/1162049	---M--	200	added ('OK')	image/gif	etag:%22t1wu67own5%22	https://cutecats.net/2025/index/img/cat_floating_in_water.gif	C:/appp/appp/cutecats.net/2025/index/img/cat_floating_in_water.gif	(from https://cutecats.net/)
19:47:05	5530/5530	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202026%2017:47:05%20GMT	https://cutecats.net/2025/games/ball-platformer/	C:/appp/appp/cutecats.net/2025/games/ball-platformer/index.html	(from https://cutecats.net/2025/games/)
19:47:05	60/60	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Aug%202026%2017:47:05%20GMT	https://cutecats.net/2025/tools/ascii-table	C:/appp/appp/cutecats.net/2025/tools/ascii-table	(from https://cutecats.net/2025/tools/)
19:47:06	49798/49798	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202026%2017:47:06%20GMT	https://cutecats.net/2025/tools/ascii-table/	C:/appp/appp/cutecats.net/2025/tools/ascii-table/index.html	(from https://cutecats.net/2025/tools/)
19:47:06	212905/212905	---MCZ	200	added ('OK')	text/javascript	etag:W/%22t1wu674ka1%22	https://cutecats.net/2025/games/ball-platformer/planck.min.js	C:/appp/appp/cutecats.net/2025/games/ball-platformer/planck.min.js	(from https://cutecats.net/2025/games/ball-platformer/)
19:47:06	67502/67502	---MCZ	200	added ('OK')	text/javascript	etag:W/%22t1wu671g32%22	https://cutecats.net/2025/games/ball-platformer/levels.js	C:/appp/appp/cutecats.net/2025/games/ball-platformer/levels.js	(from https://cutecats.net/2025/games/ball-platformer/)
19:47:06	310/310	---MCZ	200	added ('OK')	text/javascript	etag:W/%22t1wu678m%22	https://cutecats.net/2025/games/ball-platformer/util.js	C:/appp/appp/cutecats.net/2025/games/ball-platformer/util.js	(from https://cutecats.net/2025/games/ball-platformer/)
19:47:06	24476/24476	---MCZ	200	added ('OK')	text/javascript	etag:W/%22taam9aivw%22	https://cutecats.net/2025/games/ball-platformer/world.js	C:/appp/appp/cutecats.net/2025/games/ball-platformer/world.js	(from https://cutecats.net/2025/games/ball-platformer/)
19:47:06	26715/26715	---MCZ	200	added ('OK')	text/javascript	etag:W/%22tgqo6kkm3%22	https://cutecats.net/2025/games/ball-platformer/game.js	C:/appp/appp/cutecats.net/2025/games/ball-platformer/game.js	(from https://cutecats.net/2025/games/ball-platformer/)
19:47:07	12/12	---M--	200	added ('OK')	text/javascript	etag:%22t1wu67c%22	https://cutecats.net/2025/games/ball-platformer/main.js	C:/appp/appp/cutecats.net/2025/games/ball-platformer/main.js	(from https://cutecats.net/2025/games/ball-platformer/)
